date,open,high,low,close,volume
2003-10-17,3103.79,3135.616,3096.732,3116.714,298490397
2003-10-20,3114.543,3127.226,3103.57,3116.127,310646759
2003-10-21,3117.217,3134.055,3101.819,3128.176,372189620
2003-10-22,3132.876,3224.754,3132.876,3215.82,698748652
2003-10-23,3216.298,3236.713,3183.847,3187.064,498406332
2003-10-24,3183.143,3199.976,3160.03,3185.538,449944263
2003-10-27,3185.615,3192.293,3153.157,3174.511,457244902
2003-10-28,3168.171,3202.78,3156.774,3194.71,521028495
2003-10-29,3198.34,3217.609,3150.658,3193.175,684682891
2003-10-30,3190.944,3190.944,3146.434,3163.024,431370270
2003-10-31,3156.974,3206.376,3139.731,3167.339,491411347
2003-11-03,3161.527,3246.233,3156.128,3237.062,598139518
2003-11-04,3242.56,3379.104,3242.56,3296.53,1173184827
2003-11-05,3297.367,3323.058,3271.997,3287.601,743802501
2003-11-06,3288.864,3297.831,3238.083,3271.652,924589700
2003-11-07,3263.819,3269.836,3192.523,3214.385,753588592
2003-11-10,3203.766,3224.675,3160.114,3216.625,480272818
